,Date,User,Tweet
0,2023-05-24 02:47:27+00:00,ricardosolaback,🎥 “Popocatépetl ACTIVO” https://t.co/bAG761Sito
1,2023-05-24 02:47:18+00:00,luznero,@MerGarza Pararapo-po-popocatepetl.
2,2023-05-24 02:47:09+00:00,DigitalmexPerio,"Refuerzan presencia policiaca para impedir acercarse al #Popocatépetl @CNPC_MX

https://t.co/ve7Wbc6TOf"
3,2023-05-24 02:47:04+00:00,casd_reyes,Todo es culpa de Popocatépetl 🫵🏼
4,2023-05-24 02:46:57+00:00,UNoticiasPuebla,"#Popocatépetl - 19:50 h
En las últimas horas, el tremor (sismicidad volcánica asociada a la emisión de bombas de lava y ceniza) disminuyó considerablemente. Aún mantiene una débil emisión, sin bombas de lava en la zona cercana al cráter.
🚦AMARILLO 3
🚷radio de seguridad 12 km https://t.co/eeh3NRYx7Y"
